full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
タ*******,1997年05月29日,1997,5,29,193cm,102kg,アメリカ,右投げ/右打ち
源****,1993年02月16日,1993,2,16,179cm,77kg,大分県,右投げ/左打ち
外****,1992年12月20日,1992,12,20,177cm,84kg,青森県,右投げ/右打ち
石****,1994年05月06日,1994,5,6,182cm,86kg,栃木県,右投げ/左打ち
齋****,2007年01月27日,2007,1,27,181cm,76kg,石川県,右投げ/右打ち
仲****,1999年07月25日,1999,7,25,175cm,80kg,福岡県,右投げ/両打ち
児****,1998年07月10日,1998,7,10,166cm,68kg,熊本県,右投げ/右打ち
是****,2000年04月19日,2000,4,19,177cm,85kg,三重県,右投げ/右打ち
野****,2000年09月10日,2000,9,10,172cm,84kg,兵庫県,右投げ/右打ち
野****,2005年03月18日,2005,3,18,174cm,80kg,福岡県,右投げ/右打ち
龍***,2006年05月13日,2006,5,13,176cm,80kg,沖縄県,右投げ/右打ち
牧****,2001年03月04日,2001,3,4,178cm,80kg,石川県,右投げ/左打ち
柘****,1997年06月03日,1997,6,3,174cm,90kg,群馬県,右投げ/右打ち
炭*****,1987年07月19日,1987,7,19,181cm,98kg,京都府,右投げ/右打ち
古****,1999年09月10日,1999,9,10,174cm,88kg,福岡県,右投げ/右打ち
小****,2003年10月27日,2003,10,27,178cm,83kg,神奈川県,右投げ/左打ち
ロ*******,2004年01月01日,2004,1,1,193cm,85kg,ドミニカ共和国,右投げ/右打ち
ホ********,2002年08月30日,2002,8,30,198cm,116kg,ドミニカ共和国,右投げ/右打ち
チ********,2002年11月24日,2002,11,24,188cm,76kg,ウガンダ共和国,右投げ/両打ち
イ***********,2005年07月26日,2005,7,26,180cm,73kg,ウガンダ共和国,右投げ/右打ち
高***,1995年11月02日,1995,11,2,187cm,90kg,千葉県,右投げ/右打ち
正****,2002年11月19日,2002,11,19,180cm,87kg,神奈川県,右投げ/左打ち
佐***,2003年02月09日,2003,2,9,178cm,82kg,北海道,左投げ/左打ち
木****,2005年04月05日,2005,4,5,187cm,90kg,京都府,右投げ/右打ち
川****,2005年04月03日,2005,4,3,186cm,72kg,北海道,左投げ/左打ち
平****,2003年04月15日,2003,4,15,179cm,82kg,愛知県,左投げ/左打ち
森****,1992年07月13日,1992,7,13,175cm,70kg,京都府,右投げ/右打ち
シ****,2001年06月12日,2001,6,12,193cm,94kg,カナダ,左投げ/左打ち
濱****,2007年10月10日,2007,10,10,176cm,87kg,神奈川県,左投げ/左打ち
冨****,2006年08月26日,2006,8,26,186cm,80kg,埼玉県,左投げ/左打ち
三****,2000年04月07日,2000,4,7,180cm,88kg,愛知県,右投げ/左打ち
斎****,2003年03月16日,2003,3,16,181cm,89kg,京都府,右投げ/左打ち
宮****,1999年04月15日,1999,4,15,185cm,95kg,長野県,右投げ/右打ち
佐****,1996年05月13日,1996,5,13,179cm,87kg,青森県,左投げ/左打ち
上****,2001年01月31日,2001,1,31,180cm,82kg,沖縄県,右投げ/右打ち
浜****,1999年01月26日,1999,1,26,176cm,79kg,鹿児島県,左投げ/左打ち
菅****,2003年06月28日,2003,6,28,183cm,84kg,山形県,左投げ/左打ち
豆****,2003年01月15日,2003,1,15,173cm,88kg,埼玉県,右投げ/右打ち
平****,1999年11月15日,1999,11,15,173cm,99kg,沖縄県,右投げ/左打ち
中****,1995年08月31日,1995,8,31,183cm,90kg,東京都,右投げ/右打ち
黒****,2004年01月24日,2004,1,24,188cm,88kg,青森県,右投げ/右打ち
エ**********,1994年07月15日,1994,7,15,188cm,86kg,ドミニカ共和国,右投げ/右打ち
黒****,1994年08月16日,1994,8,16,180cm,87kg,神奈川県,右投げ/左打ち
篠***,2006年09月20日,2006,9,20,178cm,81kg,愛知県,右投げ/右打ち
杉****,2005年09月23日,2005,9,23,181cm,83kg,東京都,左投げ/左打ち
狩****,2006年12月25日,2006,12,25,184cm,79kg,大分県,右投げ/右打ち
ト**********,1994年04月15日,1994,4,15,201cm,107kg,アメリカ,右投げ/右打ち
羽*****,2003年12月25日,2003,12,25,191cm,94kg,埼玉県,左投げ/左打ち
ボ******,1997年01月23日,1997,1,23,185cm,95kg,ブラジル,右投げ/右打ち
