full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
林***,1973年6月1日,1973,6,1,177cm,80kg,和歌山県,右投げ/右打ち
紺****,1980年8月12日,1980,8,12,185cm,80kg,富山県,右投げ/左打ち
小****,1979年5月19日,1979,5,19,179cm,74kg,静岡県,右投げ/左打ち
武***,1978年10月14日,1978,10,14,170cm,73kg,徳島県,右投げ/左打ち
山****,1969年7月2日,1969,7,2,183cm,88kg,愛知県,右投げ/右打ち
的****,1977年5月9日,1977,5,9,179cm,88kg,大阪府,右投げ/右打ち
新****,1972年1月28日,1972,1,28,182cm,76kg,福岡県,右投げ/右打ち
星*****,2005年4月18日,2005,4,18,182cm,86kg,群馬県,右投げ/右打ち
山*****,1999年5月28日,1999,5,28,179cm,95kg,カナダ,右投げ/右打ち
藤****,2004年8月23日,2004,8,23,187cm,87kg,東京都,右投げ/左打ち
フ*********,1995年7月7日,1995,7,7,196cm,139kg,ドミニカ共和国,右投げ/右打ち
万****,2000年4月7日,2000,4,7,192cm,102kg,東京都,右投げ/右打ち
今****,1997年1月25日,1997,1,25,177cm,93kg,北海道,右投げ/右打ち
水***,2001年3月9日,2001,3,9,193cm,100kg,愛知県,右投げ/右打ち
五*****,1998年11月27日,1998,11,27,171cm,67kg,埼玉県,右投げ/左打ち
エ*******,2003年7月2日,2003,7,2,190cm,102kg,大阪府,右投げ/右打ち
宮****,2001年8月30日,2001,8,30,184cm,91kg,東京都,右投げ/右打ち
淺****,1996年6月21日,1996,6,21,183cm,84kg,東京都,右投げ/左打ち
西****,1992年4月16日,1992,4,16,181cm,82kg,和歌山県,右投げ/左打ち
常****,2004年1月18日,2004,1,18,180cm,85kg,北海道,右投げ/右打ち
濵****,2005年11月28日,2005,11,28,189cm,90kg,兵庫県,右投げ/右打ち
明****,2005年8月25日,2005,8,25,184cm,96kg,大阪府,右投げ/右打ち
奈*****,2000年5月8日,2000,5,8,172cm,75kg,静岡県,右投げ/右打ち
細****,2002年4月25日,2002,4,25,174cm,81kg,京都府,右投げ/左打ち
山***,2002年5月1日,2002,5,1,176cm,82kg,東京都,右投げ/右打ち
半****,2007年5月10日,2007,5,10,176cm,73kg,神奈川県,右投げ/左打ち
大****,2003年10月26日,2003,10,26,169cm,69kg,栃木県,右投げ/左打ち
阪***,2003年6月24日,2003,6,24,187cm,99kg,京都府,右投げ/左打ち
水****,2000年7月30日,2000,7,30,171cm,80kg,香川県,右投げ/左打ち
有****,2003年5月21日,2003,5,21,185cm,104kg,千葉県,右投げ/右打ち
清*****,1999年5月25日,1999,5,25,184cm,95kg,東京都,右投げ/左打ち
中****,1991年1月11日,1991,1,11,178cm,77kg,福岡県,右投げ/左打ち
ロ*********,1999年5月21日,1999,5,21,183cm,92kg,ドミニカ共和国,右投げ/右打ち
野****,2000年6月26日,2000,6,26,187cm,95kg,アメリカ合衆国,右投げ/右打ち
上*****,1997年1月12日,1997,1,12,167cm,73kg,岡山県,右投げ/左打ち
梅****,1998年3月14日,1998,3,14,171cm,85kg,広島県,右投げ/右打ち
田****,2000年6月13日,2000,6,13,175cm,84kg,千葉県,右投げ/左打ち
吉****,2001年1月18日,2001,1,18,181cm,94kg,神奈川県,右投げ/右打ち
藤****,2007年6月27日,2007,6,27,176cm,73kg,北海道,右投げ/左打ち
進****,2002年3月10日,2002,3,10,182cm,95kg,福岡県,右投げ/右打ち
清****,1996年5月22日,1996,5,22,185cm,91kg,山口県,右投げ/右打ち
郡****,1997年12月27日,1997,12,27,180cm,90kg,千葉県,右投げ/右打ち
ア**********,1996年5月28日,1996,5,28,190cm,112kg,キューバ共和国,右投げ/右打ち
根****,2003年3月31日,2003,3,31,173cm,80kg,北海道,左投げ/左打ち
安****,2004年11月13日,2004,11,13,186cm,101kg,京都府,右投げ/右打ち
福***,1996年12月14日,1996,12,14,171cm,74kg,北海道,左投げ/左打ち
横****,2003年4月16日,2003,4,16,178cm,80kg,長野県,右投げ/左打ち
澁****,2006年11月25日,2006,11,25,182cm,93kg,北海道,左投げ/左打ち
川****,2007年2月11日,2007,2,11,180cm,97kg,大阪府,右投げ/右打ち
宮****,1996年5月25日,1996,5,25,176cm,80kg,千葉県,右投げ/右打ち
松****,2000年8月31日,2000,8,31,180cm,85kg,埼玉県,右投げ/右打ち
清*****,2000年5月26日,2000,5,26,190cm,104kg,千葉県,右投げ/左打ち
松****,2002年5月17日,2002,5,17,188cm,100kg,岩手県,右投げ/右打ち
加****,2006年1月12日,2006,1,12,190cm,90kg,愛知県,左投げ/左打ち
孫***,2005年2月10日,2005,2,10,183cm,96kg,台湾,右投げ/左打ち
有****,1992年8月11日,1992,8,11,190cm,100kg,広島県,右投げ/右打ち
山****,2000年1月31日,2000,1,31,167cm,84kg,兵庫県,右投げ/右打ち
山*****,2002年9月3日,2002,9,3,183cm,91kg,福岡県,右投げ/右打ち
清****,2006年7月17日,2006,7,17,195cm,105kg,群馬県,右投げ/右打ち
菊****,1999年6月2日,1999,6,2,186cm,97kg,新潟県,右投げ/右打ち
池****,1994年10月1日,1994,10,1,181cm,93kg,佐賀県,右投げ/右打ち
齋*****,1995年1月5日,1995,1,5,184cm,92kg,山形県,右投げ/左打ち
柳****,2003年8月21日,2003,8,21,191cm,96kg,大分県,右投げ/右打ち
畔****,2003年5月3日,2003,5,3,178cm,92kg,愛知県,右投げ/右打ち
福***,2003年4月25日,2003,4,25,190cm,81kg,青森県,右投げ/右打ち
福****,1991年1月9日,1991,1,9,183cm,98kg,愛知県,右投げ/右打ち
島****,1993年2月14日,1993,2,14,176cm,73kg,奈良県,左投げ/左打ち
古****,2000年6月12日,2000,6,12,184cm,100kg,台湾,右投げ/右打ち
浅****,2002年9月6日,2002,9,6,186cm,92kg,大阪府,右投げ/右打ち
堀***,1998年5月10日,1998,5,10,177cm,91kg,広島県,左投げ/左打ち
藤****,2006年11月17日,2006,11,17,198cm,107kg,神奈川県,左投げ/左打ち
柴****,2006年4月18日,2006,4,18,187cm,95kg,福岡県,右投げ/左打ち
サ******,1999年8月14日,1999,8,14,188cm,82kg,ドミニカ共和国,右投げ/右打ち
