full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
村***,2005.6.27,2005,6,27,180cm,73kg,鹿児島県,右投右打
中****,2004.6.27,2004,6,27,172cm,77kg,青森県,右投右打
藤****,2007.8.15,2007,8,15,181cm,96kg,岡山県,右投右打
増***,2000.6.17,2000,6,17,179cm,92kg,大阪府,右投右打
荒***,2002.12.23,2002,12,23,184cm,100kg,福岡県,右投左打
リ****,1999.6.18,1999,6,18,189cm,120kg,沖縄県,右投右打
泉****,1999.5.17,1999,5,17,178cm,84kg,和歌山県,右投左打
小****,2001.10.5,2001,10,5,180cm,86kg,沖縄県,右投右打
浦****,2002.8.30,2002,8,30,171cm,67kg,長崎県,右投左打
ダ****,1995.6.29,1995,6,29,191cm,102kg,アメリカ合衆国,右投右打
石****,2006.4.6,2006,4,6,182cm,94kg,千葉県,右投右打
坂****,1988.12.14,1988,12,14,186cm,86kg,兵庫県,右投右打
門***,2001.1.24,2001,1,24,172cm,75kg,奈良県,右投左打
吉****,1995.2.8,1995,2,8,177cm,82kg,岐阜県,右投左打
増****,1993.7.29,1993,7,29,172cm,71kg,徳島県,右投右打
湯***,2000.1.24,2000,1,24,172cm,73kg,群馬県,右投右打
亀****,1999.4.9,1999,4,9,185cm,97kg,神奈川県,右投右打
喜****,1998.8.25,1998,8,25,179cm,93kg,石川県,右投右打
松*****,2007.8.3,2007,8,3,176cm,79kg,愛知県,右投左打
山*****,2001.5.4,2001,5,4,177cm,89kg,石川県,右投右打
郡***,1998.4.25,1998,4,25,179cm,88kg,東京都,右投右打
岸****,1996.10.10,1996,10,10,176cm,90kg,兵庫県,右投右打
大****,1993.2.11,1993,2,11,187cm,97kg,沖縄県,右投左打
小****,1989.6.7,1989,6,7,178cm,86kg,大阪府,右投右打
甲****,1992.11.5,1992,11,5,170cm,87kg,大分県,右投右打
石****,2006.7.21,2006,7,21,192cm,90kg,北海道,右投右打
石****,2003.4.5,2003,4,5,183cm,92kg,栃木県,左投左打
代****,2003.9.8,2003,9,8,184cm,100kg,愛媛県,左投左打
花****,2003.6.25,2003,6,25,181cm,78kg,広島県,右投左打
板****,1995.12.27,1995,12,27,182cm,78kg,徳島県,右投右打
河****,2003.7.3,2003,7,3,180cm,90kg,大阪府,左投左打
グ***,2006.12.30,2006,12,30,189cm,90kg,ドミニカ共和国,左投左打
黄***,2005.12.4,2005,12,4,184cm,77kg,台湾,左投左打
ル****,2000.2.15,2000,2,15,190cm,95kg,ドミニカ共和国,右投右打
森****,2004.9.3,2004,9,3,176cm,79kg,鳥取県,左投左打
吹****,2007.2.21,2007,2,21,189cm,92kg,青森県,右投右打
西***,2006.11.15,2006,11,15,169cm,78kg,埼玉県,左投左打
富***,1999.11.11,1999,11,11,179cm,85kg,香川県,左投左打
吉*****,2004.12.8,2004,12,8,181cm,84kg,熊本県,左投左打
田****,2004.4.6,2004,4,6,184cm,88kg,東京都,右投右打
松***,2000.9.14,2000,9,14,180cm,85kg,東京都,右投右打
園****,2005.7.7,2005,7,7,184cm,80kg,福岡県,右投右打
木****,2002.5.1,2002,5,1,186cm,100kg,東京都,右投右打
千****,2005.5.15,2005,5,15,174cm,85kg,北海道,左投左打
鈴****,2006.7.9,2006,7,9,183cm,89kg,神奈川県,右投左打
堀*****,2006.10.8,2006,10,8,187cm,96kg,東京都,右投右打
林**,2003.4.22,2003,4,22,183cm,85kg,北海道,右投右打
冨*****,2001.6.1,2001,6,1,178cm,82kg,神奈川県,左投左打
井****,2001.5.13,2001,5,13,176cm,86kg,群馬県,左投左打
マ*****,1996.10.11,1996,10,11,193cm,93kg,キューバ共和国,右投左打
堀****,2001.5.21,2001,5,21,186cm,90kg,岩手県,右投右打
平****,1998.8.1,1998,8,1,185cm,95kg,兵庫県,右投右打
石****,1998.4.15,1998,4,15,178cm,83kg,神奈川県,左投右打
山****,2000.9.7,2000,9,7,184cm,92kg,富山県,左投左打
泉***,1997.3.2,1997,3,2,188cm,87kg,石川県,右投右打
横***,2000.8.30,2000,8,30,190cm,98kg,滋賀県,左投左打
船****,1996.10.16,1996,10,16,174cm,80kg,宮城県,右投左打
宮****,2002.9.12,2002,9,12,174cm,85kg,神奈川県,左投左打
北****,2000.1.12,2000,1,12,184cm,103kg,栃木県,左投左打
松****,2003.7.1,2003,7,1,187cm,100kg,宮城県,左投左打
高****,1992.7.13,1992,7,13,175cm,86kg,埼玉県,左投左打
バ*****,1993.2.1,1993,2,1,196cm,122kg,パナマ共和国,左投左打
森****,1997.2.11,1997,2,11,185cm,88kg,富山県,左投左打
又****,1999.2.12,1999,2,12,182cm,95kg,山梨県,左投左打
田****,1999.7.13,1999,7,13,184cm,84kg,大分県,右投左打
則****,1990.12.17,1990,12,17,178cm,89kg,滋賀県,右投左打
マ*,1999.5.3,1999,5,3,190cm,101kg,ベネズエラ,右投右打
中****,1994.2.24,1994,2,24,183cm,86kg,大阪府,左投左打
山****,2003.9.20,2003,9,20,174cm,70kg,沖縄県,左投左打
赤****,1999.7.2,1999,7,2,175cm,82kg,東京都,右投右打
田***,2003.5.2,2003,5,2,183cm,87kg,京都府,右投右打
ハ***,1996.7.28,1996,7,28,190cm,95kg,アメリカ合衆国,右投右打
ウ*****,1997.9.15,1997,9,15,201cm,94kg,アメリカ合衆国,右投右打
竹****,2002.2.26,2002,2,26,179cm,76kg,広島県,左投左打
戸****,2000.4.4,2000,4,4,187cm,85kg,宮崎県,右投右打
山****,1998.10.10,1998,10,10,181cm,81kg,兵庫県,右投左打
西****,2002.3.11,2002,3,11,185cm,88kg,岩手県,右投右打
大*,1999.6.29,1999,6,29,183cm,90kg,兵庫県,右投右打
田****,1988.11.1,1988,11,1,188cm,102kg,兵庫県,右投右打
矢****,1980.9.21,1980,9,21,178cm,85kg,東京都,右投右打
西*****,1985.5.10,1985,5,10,184cm,94kg,広島県,右投右打
野****,1987.6.15,1987,6,15,177cm,77kg,福岡県,右投右打
立*****,1990.5.18,1990,5,18,181cm,82kg,熊本県,右投左打
市****,1985.5.9,1985,5,9,175cm,82kg,神奈川県,右投右打
若****,1993.8.26,1993,8,26,180cm,82kg,東京都,右投両打
橋***,1990.4.28,1990,4,28,172cm,75kg,宮城県,右投左打
会****,1984.1.30,1984,1,30,178cm,75kg,埼玉県,右投右打
大***,1983.5.21,1983,5,21,184cm,90kg,埼玉県,右投右打
山****,1983.11.11,1983,11,11,184cm,83kg,神奈川県,左投左打
鈴****,1978.4.27,1978,4,27,180cm,70kg,福島県,右投両打
大****,1990.6.9,1990,6,9,188cm,96kg,広島県,右投右打
田****,1970.8.26,1970,8,26,180cm,93kg,茨城県,右投右打
脇****,1981.11.4,1981,11,4,177cm,77kg,大分県,右投左打
金****,1976.7.27,1976,7,27,177cm,77kg,大阪府,右投両打
