full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
山****,1998年9月11日,1998,9,11,180cm,87kg,大阪府,右/右
益****,2000年12月27日,2000,12,27,176cm,95kg,栃木県,右/右
戸****,1990年4月11日,1990,4,11,179cm,90kg,鹿児島県,右/左
松****,2004年7月6日,2004,7,6,178cm,82kg,京都府,右/右
松*****,2002年7月31日,2002,7,31,188cm,94kg,神奈川県,左/左
森****,2004年9月19日,2004,9,19,180cm,75kg,京都府,左/左
庄****,2001年5月31日,2001,5,31,184cm,93kg,宮城県,左/左
馬****,1995年5月18日,1995,5,18,180cm,97kg,宮城県,右/右
吉***,2006年8月28日,2006,8,28,182cm,88kg,徳島県,右/右
金****,2006年10月1日,2006,10,1,183cm,87kg,青森県,左/左
清****,2005年10月6日,2005,10,6,187cm,84kg,群馬県,右/右
H*******,2002年6月16日,2002,6,16,191cm,82kg,ドミニカ共和国,右/右
堀****,1998年9月11日,1998,9,11,183cm,87kg,神奈川県,右/右
岩****,1998年6月16日,1998,6,16,178cm,81kg,福岡県,左/左
宮****,2000年7月15日,2000,7,15,181cm,80kg,沖縄県,右/右
中****,1999年10月2日,1999,10,2,178cm,85kg,和歌山県,右/右
S******,1998年4月19日,1998,4,19,203cm,113kg,アメリカ合衆国,右/左
平*****,1995年7月12日,1995,7,12,180cm,80kg,沖縄県,右/右
石*****,2002年1月22日,2002,1,22,180cm,74kg,神奈川県,右/右
中***,1998年10月10日,1998,10,10,184cm,80kg,神奈川県,右/左
J*****,1994年10月21日,1994,10,21,185cm,111kg,ベネズエラ,右/右
片****,1998年10月31日,1998,10,31,175cm,84kg,,左/左
坂****,2002年9月12日,2002,9,12,180cm,80kg,兵庫県,右/右
森****,1991年12月26日,1991,12,26,185cm,88kg,広島県,右/左
深****,2003年11月5日,2003,11,5,177cm,80kg,東京都,右/右
A*****,1997年3月28日,1997,3,28,193cm,106kg,アメリカ合衆国,左/左
佐*****,1994年6月8日,1994,6,8,181cm,83kg,東京都,右/右
若****,2000年5月10日,2000,5,10,184cm,93kg,北海道,右/右
松****,2001年12月5日,2001,12,5,185cm,92kg,大阪府,右/右
橋****,2000年7月18日,2000,7,18,181cm,84kg,兵庫県,右/右
武****,2005年6月6日,2005,6,6,173cm,78kg,山形県,左/左
篠*****,2002年5月7日,2002,5,7,177cm,80kg,群馬県,右/左
藤*****,1994年4月12日,1994,4,12,197cm,98kg,大阪府,右/右
吉****,1998年7月19日,1998,7,19,176cm,80kg,熊本県,右/右
入****,1998年8月26日,1998,8,26,187cm,90kg,栃木県,右/右
坂****,1997年7月28日,1997,7,28,180cm,87kg,福岡県,左/左
山****,1992年10月2日,1992,10,2,179cm,88kg,東京都,右/右
小****,2003年4月9日,2003,4,9,185cm,90kg,大阪府,右/右
大****,1994年2月3日,1994,2,3,181cm,76kg,神奈川県,右/右
島****,2003年4月30日,2003,4,30,185cm,95kg,,右/右
石****,1993年3月1日,1993,3,1,180cm,85kg,広島県,左/左
伊****,1998年3月7日,1998,3,7,183cm,94kg,熊本県,右/右
竹***,1999年7月5日,1999,7,5,184cm,96kg,大阪府,右/右
東***,1995年11月29日,1995,11,29,170cm,80kg,三重県,左/左
J*********,1994年7月11日,1994,7,11,193cm,103kg,アメリカ合衆国,右/左
大****,1985年6月30日,1985,6,30,174cm,65kg,茨城県,左/左
佐****,1991年8月13日,1991,8,13,168cm,68kg,神奈川県,左/左
万****,1972年7月7日,1972,7,7,170cm,77kg,兵庫県,右/右
柳****,1982年3月31日,1982,3,31,180cm,82kg,兵庫県,右/右
大****,1978年10月18日,1978,10,18,180cm,80kg,埼玉県,右/左
鈴****,1972年4月10日,1972,4,10,186cm,88kg,静岡県,右/左
加***,1985年4月13日,1985,4,13,182cm,84kg,埼玉県,右/右
八***,1990年5月26日,1990,5,26,174cm,84kg,愛媛県,右/右
入****,1972年8月13日,1972,8,13,174cm,80kg,宮崎県,右/右
辻***,1979年7月14日,1979,7,14,178cm,82kg,山梨県,右/右
上****,1973年11月18日,1973,11,18,188cm,86kg,長野県,右/左
