full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
土****,1968年12月5日,1968,12,5,179cm/83kg,179cm,83kg,千葉,右投げ/右打ち
寺****,1983年5月27日,1983,5,27,176cm/79kg,176cm,79kg,栃木,右投げ/右打ち
坪****,1974年2月19日,1974,2,19,177cm/77kg,177cm,77kg,愛知,左投げ/左打ち
吉****,1971年7月29日,1971,7,29,189cm/106kg,189cm,106kg,東京,右投げ/右打ち
衣****,1981年3月20日,1981,3,20,179cm/93kg,179cm,93kg,兵庫,右投げ/右打ち
山****,1985年9月4日,1985,9,4,179cm/80kg,179cm,80kg,和歌山,右投げ/右打ち
正***,1981年11月3日,1981,11,3,188cm/88kg,188cm,88kg,群馬,左投げ/左打ち
松******,1980年12月18日,1980,12,18,178cm/86kg,178cm,86kg,ブラジル,左投げ/左打ち
池****,1965年12月17日,1965,12,17,183cm/75kg,183cm,75kg,兵庫,右投げ/右打ち
モ***,2000年3月18日,2000,3,18,187cm/88kg,187cm,88kg,沖縄,右投げ/右打ち
岩****,1997年7月31日,1997,7,31,175cm/79kg,175cm,79kg,兵庫,左投げ/左打ち
増***,1999年5月21日,1999,5,21,179cm/85kg,179cm,85kg,長崎,右投げ/右打ち
澤***,2000年5月31日,2000,5,31,180cm/94kg,180cm,94kg,愛知,左投げ/左打ち
西*****,2004年7月1日,2004,7,1,178cm/80kg,178cm,80kg,京都,右投げ/左打ち
モ*********,2006年11月29日,2006,11,29,182cm/87kg,182cm,87kg,愛知,左投げ/左打ち
ド********,1992年8月5日,1992,8,5,195cm/104kg,195cm,104kg,ドミニカ共和国,右投げ/右打ち
塩****,1993年6月12日,1993,6,12,180cm/81kg,180cm,81kg,神奈川,右投げ/右打ち
丸****,1999年7月18日,1999,7,18,174cm/80kg,174cm,80kg,群馬,左投げ/左打ち
並****,1999年3月23日,1999,3,23,170cm/72kg,170cm,72kg,埼玉,右投げ/右打ち
髙****,2005年7月28日,2005,7,28,176cm/90kg,176cm,90kg,島根,右投げ/右打ち
根****,2000年9月20日,2000,9,20,180cm/95kg,180cm,95kg,東京,左投げ/左打ち
澤****,2002年3月9日,2002,3,9,186cm/94kg,186cm,94kg,愛知,右投げ/左打ち
伊****,2002年9月11日,2002,9,11,180cm/78kg,180cm,78kg,群馬,右投げ/右打ち
武****,2001年5月28日,2001,5,28,179cm/77kg,179cm,77kg,徳島,右投げ/左打ち
田****,2006年6月25日,2006,6,25,183cm/88kg,183cm,88kg,東京,右投げ/左打ち
北****,2000年12月18日,2000,12,18,182cm/90kg,182cm,90kg,岐阜,右投げ/右打ち
松****,2004年3月26日,2004,3,26,183cm/81kg,183cm,81kg,岡山,右投げ/左打ち
石***,2002年3月2日,2002,3,2,180cm/81kg,180cm,81kg,栃木,右投げ/右打ち
山****,1994年5月24日,1994,5,24,170cm/74kg,170cm,74kg,東京,右投げ/右打ち
ホ*****,1992年12月12日,1992,12,12,188cm/106kg,188cm,106kg,ベネズエラ,右投げ/右打ち
宮***,1995年4月3日,1995,4,3,181cm/82kg,181cm,82kg,大阪,右投げ/左打ち
茂*****,1994年2月14日,1994,2,14,173cm/78kg,173cm,78kg,東京,右投げ/左打ち
長****,2001年9月26日,2001,9,26,175cm/82kg,175cm,82kg,千葉,右投げ/左打ち
松****,2003年4月14日,2003,4,14,181cm/87kg,181cm,87kg,神奈川,右投げ/右打ち
内****,2002年6月30日,2002,6,30,172cm/76kg,172cm,76kg,富山,右投げ/右打ち
山****,1992年7月16日,1992,7,16,181cm/81kg,181cm,81kg,兵庫,右投げ/右打ち
赤****,2000年6月29日,2000,6,29,176cm/83kg,176cm,83kg,長野,右投げ/右打ち
中****,2002年7月17日,2002,7,17,180cm/88kg,180cm,88kg,愛知,右投げ/右打ち
松*****,2005年3月1日,2005,3,1,176cm/81kg,176cm,81kg,大阪,右投げ/右打ち
鈴***,2006年3月21日,2006,3,21,181cm/81kg,181cm,81kg,静岡,右投げ/右打ち
矢*****,2002年5月22日,2002,5,22,178cm/82kg,178cm,82kg,愛媛,右投げ/右打ち
橋****,2000年9月18日,2000,9,18,178cm/85kg,178cm,85kg,兵庫,右投げ/左打ち
柿****,1993年5月12日,1993,5,12,180cm/86kg,180cm,86kg,茨城,右投げ/右打ち
松****,1993年10月17日,1993,10,17,177cm/82kg,177cm,82kg,香川,右投げ/右打ち
中****,1990年6月17日,1990,6,17,176cm/79kg,176cm,79kg,福井,右投げ/右打ち
古****,1998年8月7日,1998,8,7,177cm/83kg,177cm,83kg,福岡,右投げ/右打ち
佐****,2000年3月18日,2000,3,18,184cm/86kg,184cm,86kg,新潟,左投げ/左打ち
翔*,2005年12月17日,2005,12,17,188cm/81kg,188cm,81kg,台湾,右投げ/右打ち
西****,2002年11月23日,2002,11,23,181cm/80kg,181cm,80kg,群馬,右投げ/左打ち
小****,2007年6月8日,2007,6,8,180cm/70kg,180cm,70kg,神奈川,左投げ/左打ち
西****,2001年6月9日,2001,6,9,189cm/94kg,189cm,94kg,福岡,右投げ/右打ち
竹****,2003年11月2日,2003,11,2,182cm/86kg,182cm,86kg,愛知,右投げ/右打ち
廣***,2001年4月27日,2001,4,27,193cm/102kg,193cm,102kg,東京,右投げ/右打ち
青****,1993年12月11日,1993,12,11,183cm/83kg,183cm,83kg,神奈川,右投げ/右打ち
沼****,2000年6月24日,2000,6,24,175cm/80kg,175cm,80kg,北海道,右投げ/右打ち
下****,2000年3月22日,2000,3,22,176cm/88kg,176cm,88kg,神奈川,右投げ/右打ち
丸****,1998年8月22日,1998,8,22,194cm/90kg,194cm,90kg,福岡,右投げ/左打ち
阪****,1999年8月15日,1999,8,15,188cm/90kg,188cm,90kg,大阪,右投げ/左打ち
ヘ*******,1995年3月7日,1995,3,7,188cm/112kg,188cm,112kg,ドミニカ共和国,右投げ/右打ち
飯****,1999年6月24日,1999,6,24,187cm/100kg,187cm,100kg,神奈川,右投げ/右打ち
ナ**********,1997年5月18日,1997,5,18,195cm/102kg,195cm,102kg,アメリカ,右投げ/右打ち
坂****,2004年7月6日,2004,7,6,180cm/85kg,180cm,85kg,北海道,左投げ/左打ち
長*****,1998年8月23日,1998,8,23,176cm/86kg,176cm,86kg,東京,左投げ/左打ち
鈴****,2007年8月18日,2007,8,18,177cm/70kg,177cm,70kg,東京,左投げ/左打ち
高****,1997年5月14日,1997,5,14,180cm/83kg,180cm,83kg,京都,左投げ/左打ち
大****,1999年1月20日,1999,1,20,180cm/91kg,180cm,91kg,埼玉,右投げ/右打ち
小****,1998年3月9日,1998,3,9,182cm/87kg,182cm,87kg,静岡,右投げ/左打ち
大****,1997年11月8日,1997,11,8,175cm/92kg,175cm,92kg,奈良,右投げ/右打ち
増****,2000年5月25日,2000,5,25,173cm/74kg,173cm,74kg,滋賀,左投げ/左打ち
拓*,1994年12月31日,1994,12,31,176cm/99kg,176cm,99kg,東京,右投げ/右打ち
高****,1991年6月5日,1991,6,5,188cm/94kg,188cm,94kg,千葉,右投げ/右打ち
