full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
立****,2003.11.01,2003,11,1,180 cm / 87 kg,180 cm,87 kg,山口,右 / 右
佐****,1999.03.13,1999,3,13,187 cm / 96 kg,187 cm,96 kg,兵庫,右 / 左
中****,1996.06.28,1996,6,28,172 cm / 68 kg,172 cm,68 kg,山形,右 / 左
熊****,1995.11.10,1995,11,10,175 cm / 69 kg,175 cm,69 kg,宮城,右 / 右
大****,1994.12.19,1994,12,19,181 cm / 96 kg,181 cm,96 kg,茨城,右 / 右
木****,1994.06.15,1994,6,15,179 cm / 81 kg,179 cm,81 kg,青森,右 / 左
元****,1998.12.04,1998,12,4,181 cm / 82 kg,181 cm,82 kg,大阪,右 / 左
嶋*****,2003.07.13,2003,7,13,177 cm / 90 kg,177 cm,90 kg,高知,右 / 左
中****,2004.01.27,2004,1,27,172 cm / 76 kg,172 cm,76 kg,愛知,右 / 右
藤****,2001.10.18,2001,10,18,173 cm / 78 kg,173 cm,78 kg,滋賀,右 / 右
長****,1994.04.28,1994,4,28,173 cm / 84 kg,173 cm,84 kg,群馬,右 / 右
町****,2003.04.03,2003,4,3,186 cm / 86 kg,186 cm,86 kg,神奈川,右 / 右
榮****,1998.05.16,1998,5,16,180 cm / 84 kg,180 cm,84 kg,高知,右 / 右
伏****,1990.05.12,1990,5,12,182 cm / 89 kg,182 cm,89 kg,北海道,右 / 右
坂*****,1993.11.10,1993,11,10,176 cm / 79 kg,176 cm,79 kg,兵庫,右 / 右
梅*****,1991.06.17,1991,6,17,173 cm / 75 kg,173 cm,75 kg,福岡,右 / 右
ア***********,2000.01.10,2000,1,10,190 cm / 96 kg,190 cm,96 kg,ドミニカ共和国,右 / 右
神****,2003.05.27,2003,5,27,178 cm / 81 kg,178 cm,81 kg,群馬,右 / 右
伊***,1999.11.08,1999,11,8,178 cm / 88 kg,178 cm,88 kg,愛知,左 / 左
松***,1999.08.24,1999,8,24,180 cm / 93 kg,180 cm,93 kg,富山,右 / 右
小****,1997.06.03,1997,6,3,183 cm / 86 kg,183 cm,86 kg,神奈川,右 / 右
ダ*******,1996.04.15,1996,4,15,188 cm / 102 kg,188 cm,102 kg,ドミニカ共和国,右 / 右
ラ********,1988.01.10,1988,1,10,196 cm / 106 kg,196 cm,106 kg,ドミニカ共和国,右 / 右
石****,1997.07.29,1997,7,29,175 cm / 79 kg,175 cm,79 kg,秋田,右 / 右
津****,2001.08.27,2001,8,27,179 cm / 82 kg,179 cm,82 kg,奈良,右 / 右
湯****,1999.07.17,1999,7,17,183 cm / 86 kg,183 cm,86 kg,三重,右 / 右
岡****,1999.11.07,1999,11,7,181 cm / 96 kg,181 cm,96 kg,沖縄,右 / 右
石****,2001.06.20,2001,6,20,180 cm / 86 kg,180 cm,86 kg,愛知,右 / 右
能****,2001.09.29,2001,9,29,184 cm / 88 kg,184 cm,88 kg,北海道,右 / 右
木****,2001.01.27,2001,1,27,183 cm / 89 kg,183 cm,89 kg,福岡,右 / 右
早****,1999.12.18,1999,12,18,186 cm / 93 kg,186 cm,93 kg,北海道,右 / 右
富***,2001.09.06,2001,9,6,176 cm / 78 kg,176 cm,78 kg,岐阜,左 / 左
工****,2001.11.19,2001,11,19,177 cm / 82 kg,177 cm,82 kg,秋田,右 / 左
茨****,2004.06.08,2004,6,8,183 cm / 87 kg,183 cm,87 kg,北海道,右 / 右
桐****,1999.06.20,1999,6,20,179 cm / 92 kg,179 cm,92 kg,埼玉,左 / 左
カ**********,1998.05.25,1998,5,25,203 cm / 106 kg,203 cm,106 kg,アメリカ,右 / 右
早***,2007.08.30,2007,8,30,185 cm / 79 kg,185 cm,79 kg,兵庫,右 / 左
イ*********,1996.09.23,1996,9,23,191 cm / 94 kg,191 cm,94 kg,アメリカ,左 / 左
