full_name,birth_date,birth_year,birth_month,birth_day,height_cm,weight_kg,hometown,throw_bat
ネ******,1989年02月28日,1989,2,28,185cm,97kg,プエルトリコ,右投げ/右打ち
茶****,1998年01月16日,1998,1,16,186cm,88kg,神奈川県,右投げ/右打ち
小****,1998年04月05日,1998,4,5,171cm,74kg,群馬県,右投げ/左打ち
櫻*****,2007年06月30日,2007,6,30,180cm,90kg,栃木県,右投げ/右打ち
立****,1999年02月05日,1999,2,5,177cm,82kg,千葉県,右投げ/左打ち
宮****,2000年12月09日,2000,12,9,173cm,90kg,徳島県,右投げ/左打ち
石****,1998年09月21日,1998,9,21,181cm,88kg,山形県,右投げ/右打ち
上*****,2001年08月12日,2001,8,12,183cm,96kg,愛知県,右投げ/左打ち
中****,1992年05月28日,1992,5,28,180cm,86kg,兵庫県,右投げ/右打ち
藤****,1993年08月08日,1993,8,8,178cm,86kg,岡山県,右投げ/左打ち
安****,1999年04月15日,1999,4,15,188cm,100kg,大阪府,右投げ/左打ち
友****,2000年11月07日,2000,11,7,171cm,70kg,大阪府,右投げ/右打ち
池****,1999年12月11日,1999,12,11,180cm,95kg,千葉県,右投げ/右打ち
富*****,2005年09月18日,2005,9,18,181cm,70kg,大阪府,右投げ/右打ち
岡****,2007年05月03日,2007,5,3,172cm,77kg,宮崎県,右投げ/右打ち
寺****,2005年08月19日,2005,8,19,177cm,82kg,東京都,右投げ/左打ち
植****,1997年12月18日,1997,12,18,180cm,86kg,大阪府,右投げ/右打ち
佐*****,1998年01月27日,1998,1,27,181cm,91kg,福島県,右投げ/左打ち
田****,1994年05月13日,1994,5,13,172cm,81kg,大阪府,右投げ/右打ち
松****,2003年10月20日,2003,10,20,178cm,98kg,大阪府,右投げ/右打ち
チ*********,2005年03月27日,2005,3,27,183cm,90kg,ドミニカ共和国,左投げ/左打ち
武****,2005年10月25日,2005,10,25,184cm,84kg,大分県,右投げ/右打ち
長****,2002年07月05日,2002,7,5,187cm,92kg,栃木県,右投げ/右打ち
茨****,2006年05月09日,2006,5,9,187cm,93kg,北海道,右投げ/右打ち
髙****,2005年12月21日,2005,12,21,178cm,82kg,香川県,右投げ/右打ち
中****,2007年04月18日,2007,4,18,182cm,65kg,茨城県,右投げ/左打ち
永*****,2003年11月30日,2003,11,30,182cm,90kg,神奈川県,右投げ/右打ち
中****,1998年05月18日,1998,5,18,182cm,79kg,千葉県,右投げ/右打ち
秋****,2003年04月29日,2003,4,29,174cm,80kg,千葉県,左投げ/左打ち
森****,1999年04月22日,1999,4,22,180cm,87kg,宮崎県,右投げ/左打ち
本****,1997年10月02日,1997,10,2,176cm,82kg,北海道,左投げ/左打ち
吉****,2005年03月14日,2005,3,14,185cm,82kg,埼玉県,左投げ/左打ち
サ*****,1995年07月08日,1995,7,8,185cm,83kg,アメリカ合衆国,左投げ/左打ち
宮***,2000年06月14日,2000,6,14,180cm,93kg,埼玉県,左投げ/左打ち
廣*****,2002年09月16日,2002,9,16,185cm,85kg,宮崎県,右投げ/左打ち
坂***,2006年05月08日,2006,5,8,178cm,78kg,千葉県,右投げ/右打ち
大*,2002年01月29日,2002,1,29,178cm,98kg,大阪府,右投げ/左打ち
早***,2005年07月26日,2005,7,26,176cm,70kg,千葉県,右投げ/右打ち
河****,1997年06月18日,1997,6,18,192cm,87kg,北海道,右投げ/右打ち
中****,2002年05月29日,2002,5,29,182cm,90kg,兵庫県,右投げ/左打ち
澤****,1994年04月27日,1994,4,27,178cm,96kg,愛媛県,右投げ/左打ち
木****,2005年06月01日,2005,6,1,184cm,92kg,茨城県,右投げ/左打ち
益****,1989年10月25日,1989,10,25,179cm,80kg,和歌山県,右投げ/右打ち
鈴****,1998年09月07日,1998,9,7,175cm,80kg,茨城県,左投げ/左打ち
冨****,2002年03月10日,2002,3,10,180cm,86kg,埼玉県,右投げ/右打ち
ア*********,1996年05月01日,1996,5,1,190cm,95kg,アメリカ合衆国,右投げ/右打ち
一****,2003年02月10日,2003,2,10,190cm,90kg,茨城県,右投げ/左打ち
奥****,2007年09月08日,2007,9,8,179cm,83kg,滋賀県,左投げ/左打ち
小***,1996年10月23日,1996,10,23,175cm,78kg,福岡県,右投げ/右打ち
坂*****,1994年09月09日,1994,9,9,179cm,80kg,広島県,左投げ/左打ち
