full_name,birth_date,birth_year,birth_month,birth_day,height_weight,height_cm,weight_kg,hometown,throw_bat
山****,1978年5月10日,1978,5,10,179cm　85kg,179cm,85kg,大阪,右投右打
嶋***,1984年12月13日,1984,12,13,179cm　84kg,179cm,84kg,岐阜,右投右打
井****,1971年7月25日,1971,7,25,184cm　98kg,184cm,98kg,鹿児島,左投左打
福****,1999年12月1日,1999,12,1,180cm　85kg,180cm,85kg,奈良,右投右打
能****,2007年5月15日,2007,5,15,184cm　82kg,184cm,82kg,北海道,右投左打
鵜****,1999年5月30日,1999,5,30,183cm　100kg,183cm,100kg,愛知,右投右打
花***,2003年4月23日,2003,4,23,187cm　87kg,187cm,87kg,大阪,右投右打
細****,1998年8月4日,1998,8,4,179cm　98kg,179cm,98kg,茨城,右投右打
上****,1995年8月1日,1995,8,1,185cm　90kg,185cm,90kg,埼玉,右投左打
川****,1993年6月30日,1993,6,30,174cm　80kg,174cm,80kg,北海道,左投左打
ブ******,1999年5月7日,1999,5,7,184cm　92kg,184cm,92kg,東京,右投右打
ジ*********,1993年9月6日,1993,9,6,186cm　98kg,186cm,98kg,アメリカ合衆国,右投左打
大****,1985年11月9日,1985,11,9,176cm　75kg,176cm,75kg,愛知,左投左打
岡****,2002年2月22日,2002,2,22,175cm　75kg,175cm,75kg,三重,右投左打
尾****,2000年8月3日,2000,8,3,175cm　77kg,175cm,77kg,兵庫,左投左打
川****,2001年3月10日,2001,3,10,178cm　85kg,178cm,85kg,大分,右投右打
石****,2007年8月1日,2007,8,1,187cm　92kg,187cm,92kg,静岡,右投右打
津****,2002年11月23日,2002,11,23,181cm　88kg,181cm,88kg,熊本,右投右打
中*****,2006年8月16日,2006,8,16,184cm　76kg,184cm,76kg,宮崎,右投右打
樋****,1998年11月17日,1998,11,17,177cm　76kg,177cm,76kg,埼玉,右投左打
ク***********,2002年3月31日,2002,3,31,189cm　90kg,189cm,90kg,キューバ共和国,右投右打
知****,1999年2月16日,1999,2,16,182cm　85kg,182cm,85kg,新潟,右投右打
板*****,1994年3月27日,1994,3,27,180cm　88kg,180cm,88kg,神奈川,右投左打
山****,1993年10月10日,1993,10,10,176cm　76kg,176cm,76kg,東京,右投右打
新****,2003年11月29日,2003,11,29,183cm　76kg,183cm,76kg,大阪,右投左打
阿****,1989年12月3日,1989,12,3,185cm　85kg,185cm,85kg,岩手,右投右打
土****,2002年12月30日,2002,12,30,180cm　80kg,180cm,80kg,滋賀,右投左打
森***,2006年12月25日,2006,12,25,188cm　93kg,188cm,93kg,神奈川,右投左打
石****,2001年6月22日,2001,6,22,186cm　100kg,186cm,100kg,愛知,右投右打
ミ******,1993年5月11日,1993,5,11,196cm　126kg,196cm,126kg,ドミニカ共和国,右投右打
福****,1996年9月16日,1996,9,16,180cm　87kg,180cm,87kg,滋賀,右投右打
村****,2001年1月6日,2001,1,6,172cm　80kg,172cm,80kg,静岡,右投左打
オ*********,1992年2月3日,1992,2,3,184cm　87kg,184cm,87kg,ドミニカ共和国,右投右打
高****,1994年1月18日,1994,1,18,180cm　90kg,180cm,90kg,神奈川,右投左打
田****,2000年11月28日,2000,11,28,166cm　68kg,166cm,68kg,神奈川,右投右打
辻*****,2001年8月11日,2001,8,11,168cm　75kg,168cm,75kg,北海道,右投右打
日****,2004年9月20日,2004,9,20,174cm　90kg,174cm,90kg,茨城,右投左打
山*****,2004年4月21日,2004,4,21,175cm　85kg,175cm,85kg,秋田,右投左打
石****,2000年12月7日,2000,12,7,181cm　92kg,181cm,92kg,千葉,右投右打
加****,1992年4月29日,1992,4,29,175cm　85kg,175cm,85kg,三重,右投右打
味****,2003年6月14日,2003,6,14,180cm　88kg,180cm,88kg,大阪,右投左打
宇*****,1993年6月4日,1993,6,4,181cm　95kg,181cm,95kg,千葉,右投左打
木****,1991年12月18日,1991,12,18,183cm　95kg,183cm,95kg,高知,右投右打
石****,2000年8月18日,2000,8,18,178cm　84kg,178cm,84kg,三重,右投右打
ラ**********,2003年9月28日,2003,9,28,177cm　72kg,177cm,72kg,キューバ共和国,左投左打
森****,2005年1月11日,2005,1,11,183cm　90kg,183cm,90kg,徳島,左投左打
梅****,1996年10月24日,1996,10,24,189cm　100kg,189cm,100kg,宮城,右投右打
土****,2001年3月10日,2001,3,10,180cm　93kg,180cm,93kg,神奈川,右投右打
森***,1998年5月25日,1998,5,25,177cm　87kg,177cm,87kg,愛知,右投右打
井****,2006年12月20日,2006,12,20,178cm　82kg,178cm,82kg,鹿児島,右投右打
牧****,1999年9月19日,1999,9,19,181cm　91kg,181cm,91kg,北海道,左投左打
カ******,1997年10月7日,1997,10,7,201cm　118kg,201cm,118kg,アメリカ合衆国,左投右打
ウ********,1997年3月3日,1997,3,3,193cm　104kg,193cm,104kg,パナマ共和国,右投右打
松****,2000年6月23日,2000,6,23,188cm　92kg,188cm,92kg,青森,右投右打
近***,1998年9月22日,1998,9,22,180cm　93kg,180cm,93kg,東京,左投左打
三****,1999年9月2日,1999,9,2,174cm　81kg,174cm,81kg,神奈川,左投右打
有****,2006年9月20日,2006,9,20,191cm　82kg,191cm,82kg,愛媛,右投右打
高****,2006年12月31日,2006,12,31,178cm　87kg,178cm,87kg,北海道,左投左打
齋****,1996年12月18日,1996,12,18,182cm　92kg,182cm,92kg,北海道,左投左打
藤****,1998年5月8日,1998,5,8,177cm　90kg,177cm,90kg,愛知,右投右打
篠****,2005年6月12日,2005,6,12,193cm　105kg,193cm,105kg,東京,右投右打
清****,1999年11月3日,1999,11,3,185cm　93kg,185cm,93kg,埼玉,右投右打
吉****,2002年5月23日,2002,5,23,177cm　81kg,177cm,81kg,佐賀,左投左打
梅****,1999年1月13日,1999,1,13,177cm　90kg,177cm,90kg,福岡,右投右打
勝****,1997年6月12日,1997,6,12,183cm　95kg,183cm,95kg,岐阜,右投右打
松****,1990年8月14日,1990,8,14,179cm　82kg,179cm,82kg,兵庫,左投左打
福*****,2005年8月11日,2005,8,11,182cm　88kg,182cm,88kg,大阪,左投左打
